name;cat;subcat;price;img;desc
robe a noeud;femme;robes;25,99;dress1.jpg;Robe avec col à revers, décolleté en V et manches longues. Nœud sur le devant. Zip dissimulé dans la couture sur le côté.
robe a carreaux;femme;robes;39,99;dress2.jpg;Robe fluide avec décolleté en V et manches 3/4. Coupe évasée. Ceinture ton sur ton.
robe imprimee de chaines;femme;robes;19,99;dress3.jpg;Robe ample à col rond avec décolleté en V et manches longues. Bas fendu sur les côtés.
robe croisee a imprime floral;femme;robes;25,99;dress4.jpg;Robe fluide à décolleté cache-cœur en V et manches 3/4 terminées par un volant. Ceinture asymétrique avec boucle. Coupe évasée.
